x,y
0.3687240496773185, 0.18606914150468515
0.4122383102714946, 0.18606629147451786
0.4122383102714946, 0.14478987456769749
0.5000579998342863, 0.14464514485392949
0.5016403365831654, 0.11184627222653752
0.5957893731414736, 0.11170112796292703
0.5981628782647923, 0.10607237020126056
0.6931030831975401, 0.10585768520156819
0.6954765883208589, 0.10891504210884542
0.7912079616280462, 0.10883928312512582
0.7943726351258046, 0.1191234356182339
0.8924775135563104, 0.11939496576508112
0.8956421870540688, 0.09604648226003924
0.9652650040047505, 0.09604192221177157
