x,y
0.31101188066039215, 0.03152115477662487
0.33441039469155553, 0.03631525186817908
0.357809573033319, 0.04088893070265037
0.3812102460739324, 0.044966668458684966
0.40461523713344594, 0.04761168754368039
0.4280152458634594, 0.05190984355679801
0.45141857614647285, 0.05510590828450079
0.4748212421188863, 0.058522391269286544
0.4982250706348498, 0.06155314230417716
0.5216275705296133, 0.06502472985323365
0.5450315651232267, 0.0680003763238535
0.5684337328626903, 0.0715821730014515
0.5918385578445537, 0.07428229665071764
0.6152443792923173, 0.07665179291435939
0.6386540205260308, 0.07775388419977416
0.6620576829643443, 0.0808397397989355
0.6854641687227079, 0.0829888178054943
0.7088746403446714, 0.08381538626955537
0.732279465326535, 0.08651550991882151
0.7556822973765984, 0.08987688833933652
0.779094429775062, 0.09015241116069023
0.8025002512228255, 0.09252190742433197
0.8278624673876152, 0.0931280576313101
0.8473559422750597, 0.09887730050355711
0.8727192102649661, 0.09913445513682054
0.8961258621009796, 0.1012284285791086
0.9195393231206432, 0.10106311488629638
0.942951953752057, 0.10117332401483786
0.9644146666947944, 0.10089780119348415
1.0092835332405954, 0.10288156550723074
1.032688192144809, 0.10563679372076765
1.0560920206607722, 0.10866754475565824
1.0795209269018862, 0.10337750658566738
1.1029259179613997, 0.10602252567066281
1.126331407253863, 0.10850223106284604
1.1497327446050767, 0.1123595505617977
1.1731387321304902, 0.11467394226116867
1.1951669869222425, 0.11171403995176904
1.2199641594709674, 0.1148392559539809
1.243374298937631, 0.11577603354658345
1.2667807846959946, 0.11792511155314225
1.290190093774408, 0.11913741196709848
1.3116459643179657, 0.12113219719369922
1.354177620095285, 0.12176038922638563
1.3779700481685673, 0.1253274913535114
1.4000728797336301, 0.12845008332885324
1.4214306553269447, 0.13216570537682298
