# Venus upper clouds and the UV-absorber from MESSENGER/MASCS observations, S. Perez-Hoyos et al., submitted to JGR Planets - Data for figure 8
# Wavelength(mic.)	Obs.Radiance	Err.Radiance	Model Radiance	Obs. Reflectivity	Err. Refl.	Model Reflectivity	Chi2
0.420	4.393E+04	2.199E+03	4.268E+04	4.167E-01	2.086E-02	4.048E-01	3.236E-01	
0.422	4.418E+04	2.211E+03	4.049E+04	4.267E-01	2.136E-02	3.911E-01	2.776E+00	
0.425	4.384E+04	2.194E+03	4.535E+04	4.153E-01	2.078E-02	4.296E-01	4.766E-01	
0.427	4.382E+04	2.193E+03	4.334E+04	4.396E-01	2.200E-02	4.348E-01	4.888E-02	
0.429	4.042E+04	2.023E+03	4.071E+04	4.023E-01	2.014E-02	4.052E-01	2.147E-02	
0.432	4.295E+04	2.150E+03	4.665E+04	4.364E-01	2.184E-02	4.739E-01	2.953E+00	
0.434	4.805E+04	2.404E+03	4.816E+04	4.632E-01	2.318E-02	4.643E-01	2.227E-03	
0.436	5.126E+04	2.565E+03	5.435E+04	4.605E-01	2.304E-02	4.883E-01	1.456E+00	
0.439	5.104E+04	2.554E+03	4.652E+04	4.824E-01	2.414E-02	4.397E-01	3.131E+00	
0.441	5.414E+04	2.709E+03	5.395E+04	4.868E-01	2.436E-02	4.851E-01	5.124E-03	
0.443	5.733E+04	2.868E+03	5.765E+04	4.833E-01	2.418E-02	4.861E-01	1.263E-02	
0.446	5.802E+04	2.903E+03	5.544E+04	5.017E-01	2.510E-02	4.794E-01	7.881E-01	
0.448	6.076E+04	3.040E+03	6.209E+04	4.916E-01	2.460E-02	5.024E-01	1.901E-01	
0.450	6.457E+04	3.230E+03	6.566E+04	5.078E-01	2.540E-02	5.164E-01	1.147E-01	
0.453	6.456E+04	3.229E+03	6.079E+04	5.274E-01	2.638E-02	4.966E-01	1.364E+00	
0.455	6.423E+04	3.213E+03	6.319E+04	5.248E-01	2.625E-02	5.164E-01	1.035E-01	
0.457	6.549E+04	3.276E+03	6.696E+04	5.145E-01	2.574E-02	5.261E-01	2.027E-01	
0.460	6.624E+04	3.314E+03	6.521E+04	5.410E-01	2.706E-02	5.326E-01	9.675E-02	
0.462	6.711E+04	3.357E+03	6.841E+04	5.292E-01	2.647E-02	5.394E-01	1.493E-01	
0.464	6.696E+04	3.350E+03	6.710E+04	5.465E-01	2.734E-02	5.476E-01	1.761E-03	
0.467	6.632E+04	3.318E+03	6.630E+04	5.457E-01	2.730E-02	5.455E-01	3.909E-05	
0.469	6.754E+04	3.379E+03	6.968E+04	5.560E-01	2.781E-02	5.736E-01	4.015E-01	
0.471	6.798E+04	3.400E+03	7.010E+04	5.722E-01	2.862E-02	5.900E-01	3.882E-01	
0.474	7.021E+04	3.512E+03	7.129E+04	5.680E-01	2.841E-02	5.768E-01	9.479E-02	
0.476	7.071E+04	3.537E+03	7.165E+04	5.834E-01	2.918E-02	5.912E-01	7.171E-02	
0.478	7.263E+04	3.633E+03	7.298E+04	5.831E-01	2.917E-02	5.859E-01	9.450E-03	
0.481	7.231E+04	3.617E+03	7.298E+04	5.736E-01	2.869E-02	5.789E-01	3.435E-02	
0.483	7.160E+04	3.582E+03	7.220E+04	5.807E-01	2.905E-02	5.855E-01	2.770E-02	
0.485	6.771E+04	3.387E+03	6.651E+04	5.849E-01	2.926E-02	5.746E-01	1.251E-01	
0.488	6.616E+04	3.310E+03	6.478E+04	6.056E-01	3.029E-02	5.930E-01	1.742E-01	
0.490	7.030E+04	3.516E+03	6.978E+04	5.813E-01	2.907E-02	5.770E-01	2.197E-02	
0.492	7.019E+04	3.511E+03	6.721E+04	6.064E-01	3.033E-02	5.807E-01	7.181E-01	
0.495	7.048E+04	3.525E+03	7.339E+04	5.900E-01	2.951E-02	6.143E-01	6.829E-01	
0.497	7.131E+04	3.567E+03	7.248E+04	5.796E-01	2.899E-02	5.892E-01	1.081E-01	
0.499	6.952E+04	3.478E+03	6.981E+04	5.941E-01	2.972E-02	5.965E-01	6.791E-03	
0.501	6.831E+04	3.417E+03	6.618E+04	6.035E-01	3.019E-02	5.847E-01	3.884E-01	
0.504	6.976E+04	3.489E+03	7.002E+04	6.009E-01	3.006E-02	6.032E-01	5.750E-03	
0.506	7.078E+04	3.540E+03	7.234E+04	5.870E-01	2.936E-02	6.000E-01	1.962E-01	
0.508	7.011E+04	3.507E+03	7.029E+04	6.005E-01	3.004E-02	6.020E-01	2.663E-03	
0.511	7.084E+04	3.543E+03	7.159E+04	5.892E-01	2.947E-02	5.954E-01	4.532E-02	
0.513	6.936E+04	3.469E+03	6.795E+04	6.102E-01	3.052E-02	5.978E-01	1.654E-01	
0.515	6.612E+04	3.307E+03	6.893E+04	5.977E-01	2.990E-02	6.231E-01	7.257E-01	
0.518	6.420E+04	3.211E+03	6.199E+04	6.227E-01	3.115E-02	6.013E-01	4.729E-01	
0.520	6.680E+04	3.341E+03	6.623E+04	5.991E-01	2.997E-02	5.940E-01	2.914E-02	
0.522	6.888E+04	3.445E+03	6.652E+04	6.019E-01	3.011E-02	5.813E-01	4.695E-01	
0.525	6.907E+04	3.455E+03	7.130E+04	5.829E-01	2.916E-02	6.017E-01	4.168E-01	
0.527	6.787E+04	3.395E+03	6.438E+04	6.352E-01	3.177E-02	6.026E-01	1.054E+00	
0.529	6.998E+04	3.500E+03	7.086E+04	6.021E-01	3.011E-02	6.097E-01	6.396E-02	
0.532	7.043E+04	3.523E+03	7.175E+04	6.093E-01	3.048E-02	6.207E-01	1.399E-01	
0.534	7.015E+04	3.509E+03	7.085E+04	6.082E-01	3.042E-02	6.142E-01	3.954E-02	
0.536	7.042E+04	3.522E+03	7.122E+04	5.980E-01	2.991E-02	6.048E-01	5.261E-02	
0.539	6.980E+04	3.492E+03	7.131E+04	6.108E-01	3.055E-02	6.240E-01	1.866E-01	
0.541	6.866E+04	3.435E+03	6.840E+04	6.165E-01	3.084E-02	6.142E-01	5.649E-03	
0.543	6.946E+04	3.474E+03	6.963E+04	6.146E-01	3.074E-02	6.162E-01	2.521E-03	
0.546	6.971E+04	3.487E+03	7.026E+04	6.058E-01	3.030E-02	6.106E-01	2.512E-02	
0.548	6.939E+04	3.471E+03	6.779E+04	6.153E-01	3.078E-02	6.011E-01	2.124E-01	
0.550	6.970E+04	3.487E+03	6.824E+04	6.083E-01	3.043E-02	5.956E-01	1.755E-01	
0.553	6.962E+04	3.482E+03	6.737E+04	6.114E-01	3.058E-02	5.916E-01	4.183E-01	
0.555	6.919E+04	3.461E+03	6.905E+04	5.977E-01	2.990E-02	5.966E-01	1.560E-03	
0.557	6.819E+04	3.411E+03	6.694E+04	6.094E-01	3.048E-02	5.982E-01	1.357E-01	
0.559	6.756E+04	3.380E+03	6.590E+04	6.108E-01	3.055E-02	5.957E-01	2.420E-01	
0.562	6.804E+04	3.403E+03	6.697E+04	6.070E-01	3.036E-02	5.975E-01	9.817E-02	
0.564	6.831E+04	3.417E+03	6.787E+04	6.029E-01	3.016E-02	5.989E-01	1.690E-02	
0.567	6.763E+04	3.383E+03	6.698E+04	6.031E-01	3.017E-02	5.972E-01	3.748E-02	
0.569	6.801E+04	3.402E+03	6.689E+04	6.075E-01	3.039E-02	5.975E-01	1.086E-01	
0.571	6.775E+04	3.389E+03	6.631E+04	6.179E-01	3.091E-02	6.048E-01	1.803E-01	
0.573	6.905E+04	3.454E+03	6.890E+04	6.026E-01	3.014E-02	6.013E-01	1.939E-03	
0.576	6.843E+04	3.423E+03	6.743E+04	6.102E-01	3.052E-02	6.013E-01	8.569E-02	
