Wavelength [$\mu$m],Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune
0.74756324,0.621519,0.21702823,0.28286782,0.5236195,0.5950896,0.30993226,0.21784839
0.7501742,0.6222053,0.21796712,0.2832073,0.5206595,0.5904271,0.30258545,0.21062282
0.7527852,0.6224842,0.21878102,0.283349,0.51628524,0.59070736,0.30765232,0.21532278
0.7553962,0.62247074,0.21901534,0.28344983,0.5101586,0.5882586,0.30953065,0.21772872
0.75800717,0.6223587,0.21515326,0.28355002,0.49380866,0.5761642,0.27140686,0.18330866
0.76061815,0.6222636,0.07272551,0.2819677,0.48155448,0.55571866,0.21801983,0.14354652
0.76322913,0.6221554,0.08147599,0.28347436,0.47259796,0.55523753,0.18162413,0.11589384
0.7658402,0.6220287,0.14238535,0.28346026,0.46810192,0.54620117,0.1660613,0.10602079
0.7684511,0.6218899,0.20359205,0.28339574,0.47150218,0.55239123,0.17038909,0.10914235
0.77106214,0.6216965,0.2188748,0.28330228,0.47652024,0.54986894,0.15564469,0.100410216
0.7736731,0.6214564,0.22171716,0.28320807,0.46332058,0.5253303,0.113585174,0.07849258
0.7762841,0.62117547,0.22252965,0.28309664,0.45855924,0.5219665,0.10789836,0.07559265
0.7788951,0.62054735,0.22259486,0.2829824,0.44253695,0.5026639,0.08733934,0.06586229
0.78150606,0.6095508,0.22267334,0.2828694,0.39767122,0.4421583,0.0556409,0.05154089
0.78411704,0.5965494,0.22176936,0.2826111,0.349297,0.41175687,0.050341077,0.048414424
